"idate","A14_tweets","new_users_blm","new_users_shut","images","tweets","pimages","users_shut_accum"
"2015-04-13 17:17:23",0,2,0,0,2,0,0
"2015-04-13 17:17:24",30,733,24,332,835,0.397604790419162,24
"2015-04-13 17:47:51",36,658,18,346,848,0.408018867924528,42
"2015-04-13 18:18:17",42,670,30,350,796,0.439698492462312,72
"2015-04-13 18:48:39",74,720,52,393,853,0.460726846424385,124
"2015-04-13 19:19:05",74,570,32,263,703,0.374110953058321,156
"2015-04-13 19:49:35",57,630,27,217,767,0.282920469361147,183
"2015-04-13 20:19:58",23,684,16,312,739,0.422192151556157,199
"2015-04-13 20:50:24",28,567,18,314,692,0.453757225433526,217
"2015-04-13 21:20:47",30,543,21,267,652,0.409509202453988,238
"2015-04-13 21:51:13",35,589,17,345,716,0.481843575418994,255
"2015-04-13 22:21:48",85,597,35,295,819,0.36019536019536,290
"2015-04-13 22:52:06",38,559,22,285,664,0.42921686746988,312
"2015-04-13 23:22:29",40,547,19,328,657,0.49923896499239,331
"2015-04-13 23:52:56",29,547,17,238,680,0.35,348
"2015-04-14 00:23:19",36,632,25,274,717,0.382147838214784,373
"2015-04-14 00:53:51",70,463,33,284,633,0.448657187993681,406
"2015-04-14 01:24:09",31,541,29,315,704,0.447443181818182,435
"2015-04-14 01:54:34",60,946,34,566,1091,0.518790100824931,469
"2015-04-14 02:24:59",70,699,46,426,834,0.510791366906475,515
"2015-04-14 02:55:27",81,509,38,298,704,0.423295454545455,553
"2015-04-14 03:25:51",83,454,38,203,577,0.351819757365685,591
"2015-04-14 03:56:24",61,403,30,261,594,0.439393939393939,621
"2015-04-14 04:26:42",32,409,21,190,563,0.337477797513321,642
"2015-04-14 04:57:16",19,347,14,174,458,0.379912663755459,656
"2015-04-14 05:27:31",12,235,8,101,266,0.379699248120301,664
"2015-04-14 05:57:56",18,245,14,122,300,0.406666666666667,678
"2015-04-14 06:28:42",10,180,7,86,252,0.341269841269841,685
"2015-04-14 06:58:55",22,160,10,85,222,0.382882882882883,695
"2015-04-14 07:29:22",10,109,6,49,153,0.320261437908497,701
"2015-04-14 07:59:49",15,117,12,48,141,0.340425531914894,713
"2015-04-14 08:30:13",8,107,7,36,127,0.283464566929134,720
"2015-04-14 09:00:41",17,113,9,56,156,0.358974358974359,729
"2015-04-14 09:31:19",5,89,5,25,149,0.167785234899329,734
"2015-04-14 10:01:22",7,159,6,35,222,0.157657657657658,740
"2015-04-14 10:32:15",13,181,6,68,222,0.306306306306306,746
"2015-04-14 11:02:11",27,193,11,69,256,0.26953125,757
"2015-04-14 11:32:38",60,238,25,99,292,0.339041095890411,782
"2015-04-14 12:03:11",81,278,44,114,377,0.302387267904509,826
"2015-04-14 12:33:28",111,369,58,222,501,0.44311377245509,884
"2015-04-14 13:03:52",94,346,46,151,489,0.30879345603272,930
"2015-04-14 13:34:18",75,364,43,170,461,0.368763557483731,973
"2015-04-14 14:04:51",66,507,55,257,615,0.417886178861789,1028
"2015-04-14 14:35:08",55,432,41,199,520,0.382692307692308,1069
"2015-04-14 15:05:33",81,423,49,188,516,0.364341085271318,1118
"2015-04-14 15:35:59",233,870,118,287,1132,0.253533568904594,1236
"2015-04-14 16:06:25",151,703,79,239,889,0.268841394825647,1315
"2015-04-14 16:36:49",189,560,98,274,762,0.359580052493438,1413
"2015-04-14 17:07:19",234,514,146,334,726,0.460055096418733,1559
"2015-04-14 17:37:39",408,666,188,496,975,0.508717948717949,1747
"2015-04-14 18:08:04",418,598,217,471,925,0.509189189189189,1964
"2015-04-14 18:38:29",434,768,210,561,1187,0.472620050547599,2174
"2015-04-14 19:08:57",861,860,412,775,1546,0.501293661060802,2586
"2015-04-14 19:39:19",1138,974,520,1091,1750,0.623428571428571,3106
"2015-04-14 20:09:44",1352,1031,573,1188,1920,0.61875,3679
"2015-04-14 20:40:10",1543,1306,823,1259,2134,0.589971883786317,4502
"2015-04-14 21:10:35",1607,1356,807,1553,2368,0.655827702702703,5309
"2015-04-14 21:41:00",2226,1621,1017,1884,3231,0.583101207056639,6326
"2015-04-14 22:11:26",1828,1269,809,1405,2579,0.544784800310198,7135
"2015-04-14 22:41:51",2285,1527,1020,1506,2969,0.507241495453014,8155
"2015-04-14 23:12:16",2455,1812,1192,1802,3298,0.54639175257732,9347
"2015-04-14 23:42:43",2175,1621,1125,1493,2841,0.525519183386132,10472
"2015-04-15 00:13:07",1935,1482,1053,1091,2537,0.430035474970438,11525
"2015-04-15 00:43:33",1050,944,576,656,1535,0.427361563517915,12101
"2015-04-15 01:13:57",1075,991,569,792,1694,0.467532467532468,12670
"2015-04-15 01:44:23",1184,1147,779,942,1691,0.557066824364281,13449
"2015-04-15 02:14:48",1018,1002,658,800,1505,0.53156146179402,14107
"2015-04-15 02:45:14",935,801,474,694,1412,0.491501416430595,14581
"2015-04-15 03:15:44",606,798,402,641,1165,0.550214592274678,14983
"2015-04-15 03:46:04",537,709,339,493,1050,0.46952380952381,15322
"2015-04-15 04:16:30",601,675,385,522,1004,0.5199203187251,15707
"2015-04-15 04:46:57",363,477,228,352,701,0.502139800285307,15935
"2015-04-15 05:17:21",334,360,187,286,583,0.490566037735849,16122
"2015-04-15 05:47:45",389,338,197,284,556,0.510791366906475,16319
"2015-04-15 06:18:13",137,221,91,158,311,0.508038585209003,16410
"2015-04-15 06:48:47",142,206,93,114,278,0.410071942446043,16503
"2015-04-15 07:19:01",99,153,67,86,205,0.419512195121951,16570
"2015-04-15 07:49:28",119,181,95,101,251,0.402390438247012,16665
"2015-04-15 08:19:55",100,237,70,173,319,0.542319749216301,16735
"2015-04-15 08:50:27",89,170,47,112,242,0.462809917355372,16782
"2015-04-15 09:20:45",39,122,34,62,156,0.397435897435897,16816
"2015-04-15 09:51:16",80,190,59,102,231,0.441558441558442,16875
"2015-04-15 10:21:33",86,169,60,96,241,0.398340248962656,16935
"2015-04-15 10:52:07",106,240,83,121,373,0.324396782841823,17018
"2015-04-15 11:22:24",138,257,110,153,331,0.462235649546828,17128
"2015-04-15 11:53:02",186,387,147,224,470,0.476595744680851,17275
"2015-04-15 12:23:33",149,419,125,178,477,0.373165618448637,17400
"2015-04-15 12:53:40",248,774,193,335,872,0.384174311926606,17593
"2015-04-15 13:24:06",204,498,132,264,633,0.417061611374408,17725
"2015-04-15 13:54:33",128,496,92,311,602,0.516611295681063,17817
"2015-04-15 14:25:00",129,432,83,237,545,0.434862385321101,17900
"2015-04-15 14:55:22",162,487,102,248,650,0.381538461538462,18002
"2015-04-15 15:26:03",163,449,103,272,607,0.448105436573311,18105
"2015-04-15 15:56:11",189,587,171,334,697,0.479196556671449,18276
"2015-04-15 16:26:37",224,640,150,434,833,0.521008403361345,18426
"2015-04-15 16:57:05",251,714,166,461,921,0.500542888165038,18592
"2015-04-15 17:27:27",257,686,207,406,861,0.471544715447154,18799
"2015-04-15 17:57:54",156,534,123,332,650,0.510769230769231,18922
"2015-04-15 18:28:20",114,464,77,263,580,0.453448275862069,18999
"2015-04-15 18:58:52",125,507,106,276,613,0.450244698205546,19105
"2015-04-15 19:29:12",128,436,89,275,561,0.490196078431373,19194
"2015-04-15 19:59:34",120,533,90,340,662,0.513595166163142,19284
"2015-04-15 20:30:01",117,456,103,277,564,0.49113475177305,19387
"2015-04-15 21:00:29",66,379,64,203,443,0.45823927765237,19451
"2015-04-15 21:30:50",85,633,69,426,729,0.584362139917695,19520
"2015-04-15 22:01:16",94,560,80,362,641,0.564742589703588,19600
"2015-04-15 22:31:44",65,397,55,243,445,0.546067415730337,19655
"2015-04-15 23:02:07",87,385,75,174,461,0.377440347071584,19730
"2015-04-15 23:32:35",67,390,61,188,488,0.385245901639344,19791
"2015-04-16 00:02:56",51,367,48,143,473,0.302325581395349,19839
"2015-04-16 00:33:32",97,329,65,194,485,0.4,19904
"2015-04-16 01:03:55",112,421,104,169,530,0.318867924528302,20008
"2015-04-16 01:34:16",59,391,50,173,457,0.37855579868709,20058
"2015-04-16 02:04:44",131,417,97,198,530,0.373584905660377,20155
"2015-04-16 02:35:08",59,308,39,153,411,0.372262773722628,20194
"2015-04-16 03:05:30",90,326,82,165,433,0.381062355658199,20276
"2015-04-16 03:35:56",62,295,51,142,411,0.345498783454988,20327
"2015-04-16 04:06:24",88,262,71,87,355,0.245070422535211,20398
"2015-04-16 04:36:49",52,236,38,80,338,0.236686390532544,20436
"2015-04-16 05:07:20",39,174,26,70,276,0.253623188405797,20462
"2015-04-16 05:37:37",39,182,33,81,246,0.329268292682927,20495
"2015-04-16 06:08:17",20,152,15,80,211,0.37914691943128,20510
"2015-04-16 06:38:27",30,115,21,61,175,0.348571428571429,20531
"2015-04-16 07:09:20",29,75,18,66,138,0.478260869565217,20549
"2015-04-16 07:39:17",20,63,7,52,102,0.509803921568627,20556
"2015-04-16 08:09:50",7,52,6,14,55,0.254545454545455,20562
"2015-04-16 08:40:26",16,63,14,15,82,0.182926829268293,20576
"2015-04-16 09:10:51",23,71,15,28,127,0.220472440944882,20591
"2015-04-16 09:41:07",8,73,5,31,113,0.274336283185841,20596
"2015-04-16 10:11:29",6,80,6,24,88,0.272727272727273,20602
"2015-04-16 10:41:58",13,90,10,30,105,0.285714285714286,20612
"2015-04-16 11:12:16",39,151,32,67,187,0.358288770053476,20644
"2015-04-16 11:42:39",13,130,11,37,172,0.215116279069767,20655
"2015-04-16 12:13:28",47,158,27,46,247,0.186234817813765,20682
"2015-04-16 12:43:34",31,204,21,88,268,0.328358208955224,20703
"2015-04-16 13:14:03",64,261,50,130,310,0.419354838709677,20753
"2015-04-16 13:44:21",35,247,26,85,299,0.284280936454849,20779
"2015-04-16 14:14:57",36,253,33,104,336,0.30952380952381,20812
"2015-04-16 14:45:14",62,343,52,152,405,0.375308641975309,20864
"2015-04-16 15:15:41",39,311,36,133,385,0.345454545454545,20900
"2015-04-16 15:46:02",40,450,26,260,533,0.48780487804878,20926
"2015-04-16 16:16:29",68,303,35,131,376,0.348404255319149,20961
"2015-04-16 16:46:55",57,379,37,209,438,0.477168949771689,20998
"2015-04-16 17:17:21",58,307,31,193,411,0.469586374695864,21029
"2015-04-16 17:47:53",59,308,39,165,411,0.401459854014599,21068
"2015-04-16 18:18:21",51,276,32,159,446,0.356502242152466,21100
"2015-04-16 18:48:41",44,274,23,161,372,0.432795698924731,21123
"2015-04-16 19:19:03",23,241,20,127,314,0.404458598726115,21143
"2015-04-16 19:49:24",55,375,26,239,461,0.518438177874187,21169
"2015-04-16 20:19:50",46,267,24,151,327,0.46177370030581,21193
"2015-04-16 20:50:13",36,244,24,115,305,0.377049180327869,21217
"2015-04-16 21:20:41",25,460,22,338,639,0.528951486697966,21239
"2015-04-16 21:51:06",49,356,36,152,407,0.373464373464373,21275
"2015-04-16 22:21:46",14,263,12,121,296,0.408783783783784,21287
"2015-04-16 22:51:56",31,287,17,143,357,0.400560224089636,21304
"2015-04-16 23:22:20",22,318,16,167,369,0.452574525745257,21320
"2015-04-16 23:52:57",8,336,7,186,477,0.389937106918239,21327
"2015-04-17 00:23:15",32,425,15,271,552,0.490942028985507,21342
"2015-04-17 00:53:42",18,525,16,281,586,0.479522184300341,21358
"2015-04-17 01:24:02",11,314,11,139,359,0.387186629526462,21369
"2015-04-17 01:54:26",21,336,19,223,417,0.534772182254197,21388
"2015-04-17 02:24:55",28,380,24,208,452,0.460176991150442,21412
"2015-04-17 02:55:17",19,254,11,107,370,0.289189189189189,21423
"2015-04-17 03:25:43",10,297,4,154,462,0.333333333333333,21427
"2015-04-17 03:56:13",23,241,15,149,312,0.477564102564103,21442
"2015-04-17 04:26:38",17,202,15,84,243,0.345679012345679,21457
"2015-04-17 04:57:14",25,226,20,96,265,0.362264150943396,21477
"2015-04-17 05:27:37",18,274,15,50,306,0.163398692810458,21492
"2015-04-17 05:58:09",43,210,16,92,263,0.349809885931559,21508
"2015-04-17 06:28:22",14,179,8,57,222,0.256756756756757,21516
"2015-04-17 06:58:43",17,176,17,50,220,0.227272727272727,21533
"2015-04-17 07:29:07",42,168,26,42,210,0.2,21559
"2015-04-17 07:59:30",18,193,13,40,211,0.18957345971564,21572
"2015-04-17 08:29:57",17,86,11,37,104,0.355769230769231,21583
"2015-04-17 09:02:03",41,71,24,24,100,0.24,21607
"2015-04-17 09:31:08",16,63,14,26,76,0.342105263157895,21621
"2015-04-17 10:01:32",9,69,9,22,95,0.231578947368421,21630
"2015-04-17 10:31:53",10,76,10,26,101,0.257425742574257,21640
"2015-04-17 11:02:06",25,126,17,63,155,0.406451612903226,21657
"2015-04-17 11:32:29",7,107,6,39,120,0.325,21663
"2015-04-17 12:02:56",8,225,5,137,302,0.45364238410596,21668
"2015-04-17 12:33:31",21,313,14,190,426,0.446009389671362,21682
"2015-04-17 13:03:48",9,315,6,198,410,0.482926829268293,21688
"2015-04-17 13:34:09",10,282,8,137,360,0.380555555555556,21696
"2015-04-17 14:04:34",11,289,8,149,383,0.389033942558747,21704
"2015-04-17 14:34:59",22,243,19,115,318,0.361635220125786,21723
"2015-04-17 15:05:26",34,305,23,112,384,0.291666666666667,21746
"2015-04-17 15:35:54",18,322,10,155,393,0.39440203562341,21756
"2015-04-17 16:06:18",14,300,13,134,385,0.348051948051948,21769
"2015-04-17 16:36:51",11,266,10,96,338,0.284023668639053,21779
"2015-04-17 17:07:08",117,403,113,123,517,0.237911025145068,21892
"2015-04-17 17:37:41",39,387,32,102,455,0.224175824175824,21924
"2015-04-17 18:08:05",56,311,56,133,398,0.334170854271357,21980
"2015-04-17 18:38:26",37,251,26,90,309,0.29126213592233,22006
"2015-04-17 19:08:48",27,236,22,99,301,0.32890365448505,22028
"2015-04-17 19:39:41",16,234,13,75,286,0.262237762237762,22041
"2015-04-17 20:09:50",58,228,37,112,293,0.382252559726962,22078
"2015-04-17 20:40:08",44,247,20,82,330,0.248484848484848,22098
"2015-04-17 21:10:38",21,248,16,118,304,0.388157894736842,22114
"2015-04-17 21:40:53",28,270,25,110,321,0.342679127725857,22139
"2015-04-17 22:11:20",23,256,18,128,355,0.36056338028169,22157
"2015-04-17 22:41:53",15,225,14,85,322,0.263975155279503,22171
"2015-04-17 23:12:11",8,213,8,97,333,0.291291291291291,22179
"2015-04-17 23:42:57",7,278,4,119,359,0.331476323119777,22183
"2015-04-18 00:13:06",4,386,4,179,503,0.355864811133201,22187
"2015-04-18 00:43:26",10,401,10,132,480,0.275,22197
"2015-04-18 01:13:52",9,298,9,121,407,0.297297297297297,22206
"2015-04-18 01:44:19",16,443,9,425,660,0.643939393939394,22215
"2015-04-18 02:14:41",15,268,11,113,360,0.313888888888889,22226
"2015-04-18 02:45:17",23,241,11,90,312,0.288461538461538,22237
"2015-04-18 03:15:36",11,173,11,62,226,0.274336283185841,22248
"2015-04-18 03:46:11",20,146,17,58,170,0.341176470588235,22265
"2015-04-18 04:16:36",12,412,10,124,488,0.254098360655738,22275
"2015-04-18 04:46:49",2,138,2,59,189,0.312169312169312,22277
"2015-04-18 05:17:29",1,110,1,64,169,0.378698224852071,22278
"2015-04-18 05:48:17",0,113,0,26,151,0.172185430463576,22278
"2015-04-18 06:18:18",5,69,3,42,132,0.318181818181818,22281
"2015-04-18 06:48:37",1,92,1,17,105,0.161904761904762,22282
"2015-04-18 07:18:58",0,71,0,23,101,0.227722772277228,22282
"2015-04-18 07:49:27",0,71,0,18,104,0.173076923076923,22282
"2015-04-18 08:20:59",2,49,2,24,113,0.212389380530973,22284
"2015-04-18 08:50:17",2,74,2,44,89,0.49438202247191,22286
"2015-04-18 09:20:43",4,55,2,28,81,0.345679012345679,22288
"2015-04-18 09:51:15",5,51,5,17,68,0.25,22293
"2015-04-18 10:22:28",0,62,0,20,78,0.256410256410256,22293
"2015-04-18 10:52:18",5,77,5,30,115,0.260869565217391,22298
"2015-04-18 11:23:21",1,97,1,88,186,0.473118279569892,22299
"2015-04-18 11:53:43",1,69,1,24,96,0.25,22300
"2015-04-18 12:23:24",7,128,6,56,178,0.314606741573034,22306
"2015-04-18 12:53:32",4,154,4,52,203,0.25615763546798,22310
"2015-04-18 13:23:57",6,161,3,63,217,0.290322580645161,22313
"2015-04-18 13:54:25",13,218,6,59,300,0.196666666666667,22319
"2015-04-18 14:24:48",2,235,2,81,293,0.276450511945392,22321
"2015-04-18 14:55:13",8,203,5,92,281,0.327402135231317,22326
"2015-04-18 15:25:49",12,570,8,377,636,0.592767295597484,22334
"2015-04-18 15:56:09",13,263,12,136,320,0.425,22346
"2015-04-18 16:26:30",30,266,27,123,320,0.384375,22373
"2015-04-18 16:57:04",16,210,12,90,284,0.316901408450704,22385
"2015-04-18 17:27:22",19,175,11,84,220,0.381818181818182,22396
"2015-04-18 17:57:48",6,166,5,73,205,0.35609756097561,22401
"2015-04-18 18:28:18",18,197,5,131,299,0.438127090301003,22406
"2015-04-18 18:58:40",18,212,16,96,235,0.408510638297872,22422
"2015-04-18 19:29:04",17,283,15,110,314,0.35031847133758,22437
"2015-04-18 19:59:29",3,298,3,91,324,0.280864197530864,22440
"2015-04-18 20:29:59",13,401,5,158,491,0.321792260692464,22445
"2015-04-18 21:00:24",7,255,6,143,310,0.461290322580645,22451
"2015-04-18 21:30:45",10,318,9,179,413,0.433414043583535,22460
"2015-04-18 22:01:10",10,278,8,128,374,0.342245989304813,22468
"2015-04-18 22:31:33",11,282,9,164,367,0.446866485013624,22477
"2015-04-18 23:01:58",5,198,5,102,246,0.414634146341463,22482
"2015-04-18 23:32:29",4,169,4,72,214,0.336448598130841,22486
"2015-04-19 00:02:52",4,155,4,81,195,0.415384615384615,22490
"2015-04-19 00:33:26",15,204,10,112,276,0.405797101449275,22500
"2015-04-19 01:03:43",5,181,2,150,277,0.541516245487365,22502
"2015-04-19 01:34:14",5,194,4,158,271,0.583025830258303,22506
"2015-04-19 02:04:57",21,218,10,168,314,0.535031847133758,22516
"2015-04-19 02:35:07",20,206,19,108,260,0.415384615384615,22535
"2015-04-19 03:05:35",22,155,13,81,206,0.393203883495146,22548
"2015-04-19 03:35:52",7,157,7,94,224,0.419642857142857,22555
"2015-04-19 04:06:11",3,159,3,128,247,0.518218623481781,22558
"2015-04-19 04:36:53",4,146,3,146,255,0.572549019607843,22561
"2015-04-19 05:07:04",3,112,3,72,160,0.45,22564
"2015-04-19 05:37:35",3,109,3,53,140,0.378571428571429,22567
"2015-04-19 06:07:53",3,103,3,56,139,0.402877697841727,22570
"2015-04-19 06:38:22",6,72,6,38,96,0.395833333333333,22576
"2015-04-19 07:09:01",11,52,11,32,64,0.5,22587
"2015-04-19 07:39:18",6,60,6,27,103,0.262135922330097,22593
"2015-04-19 08:10:04",10,84,9,34,107,0.317757009345794,22602
"2015-04-19 08:40:13",10,65,9,31,87,0.35632183908046,22611
"2015-04-19 09:10:41",8,55,7,20,70,0.285714285714286,22618
"2015-04-19 09:41:14",17,45,6,16,74,0.216216216216216,22624
"2015-04-19 10:12:53",10,39,6,9,50,0.18,22630
"2015-04-19 10:42:35",2,54,2,10,59,0.169491525423729,22632
"2015-04-19 11:12:54",2,39,2,12,47,0.25531914893617,22634
"2015-04-19 11:42:32",5,106,3,56,130,0.430769230769231,22637
"2015-04-19 12:13:10",3,88,3,50,127,0.393700787401575,22640
"2015-04-19 12:43:29",2,117,2,52,180,0.288888888888889,22642
"2015-04-19 13:13:54",6,158,4,71,201,0.353233830845771,22646
"2015-04-19 13:44:19",3,195,3,91,240,0.379166666666667,22649
"2015-04-19 14:14:37",1,204,1,83,272,0.305147058823529,22650
"2015-04-19 14:45:04",2,214,2,91,239,0.380753138075314,22652
"2015-04-19 15:15:29",4,249,2,127,302,0.420529801324503,22654
"2015-04-19 15:45:54",2,331,2,217,363,0.597796143250689,22656
"2015-04-19 16:16:27",0,322,0,129,363,0.355371900826446,22656
"2015-04-19 16:46:47",8,307,7,141,381,0.37007874015748,22663
"2015-04-19 17:17:09",13,222,8,97,302,0.321192052980132,22671
"2015-04-19 17:47:40",10,235,8,104,291,0.357388316151203,22679
"2015-04-19 18:18:01",6,295,6,150,389,0.38560411311054,22685
"2015-04-19 18:48:27",16,316,16,162,394,0.411167512690355,22701
"2015-04-19 19:18:50",6,285,5,198,424,0.466981132075472,22706
"2015-04-19 19:49:16",3,299,3,155,468,0.331196581196581,22709
"2015-04-19 20:19:45",3,278,3,130,451,0.288248337028825,22712
"2015-04-19 20:50:19",2,186,2,119,300,0.396666666666667,22714
"2015-04-19 21:20:40",3,319,3,205,458,0.447598253275109,22717
"2015-04-19 21:50:57",8,222,7,131,354,0.370056497175141,22724
"2015-04-19 22:21:22",6,201,6,73,250,0.292,22730
"2015-04-19 22:51:47",2,238,2,99,317,0.312302839116719,22732
"2015-04-19 23:22:34",2,221,2,106,291,0.36426116838488,22734
"2015-04-19 23:52:52",4,186,4,61,208,0.293269230769231,22738
"2015-04-20 00:23:03",2,229,2,128,317,0.403785488958991,22740
"2015-04-20 00:53:33",7,221,6,132,265,0.49811320754717,22746
"2015-04-20 01:23:55",8,247,8,112,272,0.411764705882353,22754
"2015-04-20 01:54:30",11,204,2,84,255,0.329411764705882,22756
"2015-04-20 02:25:31",4,211,4,71,268,0.264925373134328,22760
"2015-04-20 02:55:12",2,194,2,106,256,0.4140625,22762
"2015-04-20 03:25:41",7,229,5,107,303,0.353135313531353,22767
"2015-04-20 03:56:02",24,206,20,100,257,0.389105058365759,22787
"2015-04-20 04:26:30",15,168,13,102,195,0.523076923076923,22800
"2015-04-20 04:56:54",9,267,7,189,320,0.590625,22807
"2015-04-20 05:27:27",15,167,10,104,244,0.426229508196721,22817
"2015-04-20 05:57:52",9,156,8,81,213,0.380281690140845,22825
"2015-04-20 06:28:12",6,84,6,34,98,0.346938775510204,22831
"2015-04-20 06:59:24",3,74,3,25,77,0.324675324675325,22834
"2015-04-20 07:29:00",1,70,1,39,86,0.453488372093023,22835
"2015-04-20 07:59:40",1,210,1,45,224,0.200892857142857,22836
"2015-04-20 08:29:49",3,77,3,37,91,0.406593406593407,22839
"2015-04-20 09:01:42",1,47,1,31,64,0.484375,22840
"2015-04-20 09:33:28",6,55,4,39,109,0.357798165137615,22844
"2015-04-20 10:01:05",16,67,6,26,104,0.25,22850
"2015-04-20 10:31:44",3,92,3,45,136,0.330882352941176,22853
"2015-04-20 11:01:55",14,142,5,44,174,0.252873563218391,22858
"2015-04-20 11:32:28",2,107,2,36,126,0.285714285714286,22860
"2015-04-20 12:03:17",41,240,41,113,276,0.409420289855072,22901
"2015-04-20 12:33:11",6,223,5,121,270,0.448148148148148,22906
"2015-04-20 13:03:42",1,229,1,122,282,0.432624113475177,22907
"2015-04-20 13:34:02",10,217,1,96,245,0.391836734693878,22908
"2015-04-20 14:04:30",6,261,4,123,345,0.356521739130435,22912
"2015-04-20 14:34:56",1,234,1,82,319,0.25705329153605,22913
"2015-04-20 15:05:17",6,262,2,78,338,0.230769230769231,22915
"2015-04-20 15:36:02",6,251,6,93,304,0.305921052631579,22921
"2015-04-20 16:06:08",12,293,9,120,360,0.333333333333333,22930
"2015-04-20 16:36:48",19,270,9,87,332,0.262048192771084,22939
"2015-04-20 17:07:06",12,273,11,102,341,0.299120234604106,22950
